time,lat,lon,elevation,accuracy,bearing,speed
2014-11-05T14:34:03Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:35:04Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:36:05Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:37:09Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:38:10Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:39:13Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:40:13Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:41:14Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:42:15Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:43:15Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:44:23Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:45:24Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:46:26Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:47:27Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:48:27Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:49:28Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:50:29Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:51:37Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:52:54Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:53:56Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:54:57Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:55:58Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:56:59Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:58:01Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:59:06Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T15:00:06Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
